ckw_bca_dblglz_uncoated,2.82,0.81
ckw_bca_dblglz_reflective_lowe,1.6,0.39
ckw_bca_dblglz_hard_lowe,1.86,0.71
ckw_bca_dblglz_glass_fritted_lowe,1.57,0.23
sgl glazing 8mm,5.82,0.61
sgl clr 6mm,5.2,0.72
dbl glazing 8mm grey/air gap/6mm clr,2.96,0.47
double_lowE_air_3.2mm_12.7_5.7mm,1.550,0.540
triple_glaze_6mm_12mm_gas,1.938,0.709
Triple_lowE_5.7_12.7mm air,1.163,0.609
triple_lowe_argon 6mm_12mmair,0.785,0.343
24mm tempered glass wall 8mm glass/8mm air gap/8mm glass,3.448,0.5
12mm single glazed tempered window,5.7,0.61
